Word,Phonetic,Definition,Example,POS
ascend,/əˈsɛnd/,"To move upward, to fly, to soar.",He ascended to heaven upon a cloud.,verb
ascent,/əˈsɛnt/,The act of ascending; a motion upwards.,He made a tedious ascent of Mont Blanc.,noun
behind,/bəˈhaɪnd/,"The rear, back-end",,noun
catalonia,/catalonia/,a region of northeastern Spain,,n
condition,/kənˈdɪʃən/,A logical clause or phrase that a conditional statement uses. The phrase can either be true or false.,,noun
descent,/dɪˈsɛnt/,An instance of descending; act of coming down.,"We climbed the mountain with difficulty, but the descent was easier.",noun
km,/km/,a metric unit of length equal to 1000 meters (or 0.621371 miles),,n
lactic,/ˈlæktɪk/,"Of, relating to, or derived from milk",,adjective
man,[mɛn],An adult male human.,The show is especially popular with middle-aged men.,noun
matterhorn,/matterhorn/,"a mountain in the Alps on the border between Switzerland and Italy (14,780 feet high); noted for its distinctive shape",,n
pyrenees,/pyrenees/,a chain of mountains between France and Spain,,n
resort,/ɹɨˈzɔ(ɹ)t/,"A place where people go for recreation, especially one with facilities such as lodgings, entertainment, and a relaxing environment.",,noun
sherpa,/ˈʃɜː(ɹ)pə/,"A mountain guide or porter, particularly a male of the Sherpa people so employed.",,noun
ultra,/ˈʌltɹə/,An ultraroyalist in France.,,noun
